CMDLINE /usr/local/bin/python3 MemTest.py
CHLD 9 24.128906 1631459693.5691
MEM 17.867188 1631459693.6719
CHLD 0 7.519531 1631459693.6803
CHLD 1 24.476562 1631459693.6803
CHLD 2 23.765625 1631459693.6804
CHLD 3 23.792969 1631459693.6804
CHLD 4 23.871094 1631459693.6805
CHLD 5 24.859375 1631459693.6805
CHLD 6 24.152344 1631459693.6805
CHLD 7 24.871094 1631459693.6806
CHLD 8 25.308594 1631459693.6806
CHLD 9 24.128906 1631459693.6806
MEM 18.816406 1631459693.7816
CHLD 0 7.519531 1631459693.7893
CHLD 1 24.476562 1631459693.7894
CHLD 2 23.980469 1631459693.7894
CHLD 3 23.812500 1631459693.7894
CHLD 4 23.871094 1631459693.7895
CHLD 5 24.859375 1631459693.7895
CHLD 6 24.152344 1631459693.7895
CHLD 7 24.871094 1631459693.7896
CHLD 8 25.308594 1631459693.7896
CHLD 9 24.128906 1631459693.7897
MEM 18.816406 1631459693.8906
CHLD 0 7.519531 1631459693.8984
CHLD 1 24.476562 1631459693.8985
CHLD 2 23.980469 1631459693.8985
CHLD 3 23.828125 1631459693.8985
CHLD 4 23.890625 1631459693.8986
CHLD 5 24.859375 1631459693.8986
CHLD 6 24.152344 1631459693.8987
CHLD 7 24.871094 1631459693.8987
CHLD 8 25.308594 1631459693.8987
CHLD 9 24.128906 1631459693.8988
MEM 18.816406 1631459694.0097
CHLD 0 7.519531 1631459694.0172
CHLD 1 24.476562 1631459694.0173
CHLD 2 23.980469 1631459694.0173
CHLD 3 23.828125 1631459694.0174
CHLD 4 23.906250 1631459694.0174
CHLD 5 24.859375 1631459694.0174
CHLD 6 24.324219 1631459694.0175
CHLD 7 24.871094 1631459694.0175
CHLD 8 25.308594 1631459694.0176
CHLD 9 24.128906 1631459694.0176
MEM 18.859375 1631459694.1180
CHLD 0 7.519531 1631459694.1279
CHLD 1 24.476562 1631459694.1279
CHLD 2 23.980469 1631459694.1280
CHLD 3 23.601562 1631459694.1280
CHLD 4 23.906250 1631459694.1281
CHLD 5 24.859375 1631459694.1281
CHLD 6 24.324219 1631459694.1282
CHLD 7 24.871094 1631459694.1282
CHLD 8 25.308594 1631459694.1282
CHLD 9 24.304688 1631459694.1283
MEM 18.863281 1631459694.2300
CHLD 0 7.519531 1631459694.2376
CHLD 1 24.476562 1631459694.2377
CHLD 2 23.980469 1631459694.2377
CHLD 3 23.601562 1631459694.2378
CHLD 4 23.585938 1631459694.2378
CHLD 5 24.859375 1631459694.2379
CHLD 6 24.324219 1631459694.2379
CHLD 7 24.871094 1631459694.2379
CHLD 8 25.308594 1631459694.2380
CHLD 9 24.304688 1631459694.2380
MEM 18.863281 1631459694.3405
CHLD 0 7.519531 1631459694.3483
CHLD 1 24.476562 1631459694.3484
CHLD 2 23.980469 1631459694.3484
CHLD 3 23.601562 1631459694.3485
CHLD 4 23.585938 1631459694.3485
CHLD 5 24.859375 1631459694.3485
CHLD 6 24.324219 1631459694.3486
CHLD 7 24.871094 1631459694.3486
CHLD 8 25.308594 1631459694.3486
CHLD 9 24.304688 1631459694.3487
MEM 18.863281 1631459694.4500
CHLD 0 7.519531 1631459694.4595
CHLD 1 24.476562 1631459694.4595
CHLD 2 23.980469 1631459694.4596
CHLD 3 23.601562 1631459694.4596
CHLD 4 23.585938 1631459694.4596
CHLD 5 24.859375 1631459694.4597
CHLD 6 24.324219 1631459694.4597
CHLD 7 24.871094 1631459694.4598
CHLD 8 25.824219 1631459694.4598
CHLD 9 24.304688 1631459694.4598
MEM 18.863281 1631459694.5604
CHLD 0 7.519531 1631459694.5668
CHLD 1 24.476562 1631459694.5668
CHLD 2 23.980469 1631459694.5668
CHLD 3 23.601562 1631459694.5668
CHLD 4 23.585938 1631459694.5669
CHLD 5 24.859375 1631459694.5669
CHLD 6 24.492188 1631459694.5669
CHLD 7 24.871094 1631459694.5669
CHLD 8 25.824219 1631459694.5670
CHLD 9 24.304688 1631459694.5670
MEM 18.863281 1631459694.6678
CHLD 0 7.519531 1631459694.6763
CHLD 1 24.476562 1631459694.6764
CHLD 2 23.980469 1631459694.6764
CHLD 3 23.601562 1631459694.6765
CHLD 4 23.585938 1631459694.6765
CHLD 5 24.859375 1631459694.6766
CHLD 6 24.492188 1631459694.6766
CHLD 7 24.871094 1631459694.6767
CHLD 8 25.824219 1631459694.6767
CHLD 9 24.468750 1631459694.6768
MEM 18.863281 1631459694.7796
CHLD 0 7.519531 1631459694.7886
CHLD 1 24.476562 1631459694.7886
CHLD 2 23.980469 1631459694.7887
CHLD 3 23.601562 1631459694.7887
CHLD 4 23.585938 1631459694.7887
CHLD 5 24.859375 1631459694.7888
CHLD 6 24.492188 1631459694.7888
CHLD 7 24.871094 1631459694.7889
CHLD 8 25.824219 1631459694.7889
CHLD 9 24.468750 1631459694.7889
MEM 18.863281 1631459694.8904
CHLD 0 7.519531 1631459694.8984
CHLD 1 24.476562 1631459694.8985
CHLD 2 23.980469 1631459694.8985
CHLD 3 23.601562 1631459694.8986
CHLD 4 23.585938 1631459694.8986
CHLD 5 24.859375 1631459694.8987
CHLD 6 24.531250 1631459694.8987
CHLD 7 24.871094 1631459694.8987
CHLD 8 25.824219 1631459694.8988
CHLD 9 24.468750 1631459694.8988
MEM 18.863281 1631459695.0009
CHLD 0 7.519531 1631459695.0085
CHLD 1 24.476562 1631459695.0085
CHLD 2 23.980469 1631459695.0086
CHLD 3 23.601562 1631459695.0086
CHLD 4 23.585938 1631459695.0087
CHLD 5 24.859375 1631459695.0087
CHLD 6 24.531250 1631459695.0087
CHLD 7 24.871094 1631459695.0088
CHLD 8 25.824219 1631459695.0088
CHLD 9 24.507812 1631459695.0089
MEM 18.863281 1631459695.1112
CHLD 0 7.519531 1631459695.1192
CHLD 1 24.476562 1631459695.1193
CHLD 2 23.980469 1631459695.1193
CHLD 3 23.601562 1631459695.1194
CHLD 4 23.585938 1631459695.1194
CHLD 5 24.859375 1631459695.1194
CHLD 6 24.558594 1631459695.1195
CHLD 7 24.871094 1631459695.1195
CHLD 8 25.824219 1631459695.1195
CHLD 9 24.507812 1631459695.1196
MEM 18.863281 1631459695.2204
CHLD 0 7.519531 1631459695.2279
CHLD 1 24.476562 1631459695.2280
